id,unit_id,category,name,expiry_date,reminder
6360dc98,HSD379FS,TRUCK,Engen Dekra SLP,2026-08-04,
08784115,HJC406FS,TRAILER,Engen Dekra SLP,2026-08-04,
cf792554,HSD379FS,TRUCK,License disc,2026-08-31,
4e5bed90,HSD379FS,TRUCK,Brake Test,2026-04-27,
11393310,HSD379FS,TRUCK,Cross Border,2027-03-07,
edd3c4e0,HSD379FS,TRUCK,Fire Permit,2027-01-31,
01bac9da,HJC406FS,TRAILER,License disc,2026-07-31,
7d1997de,HJC406FS,TRAILER,Brake Test,2026-04-27,
311e16f9,HJC406FS,TRAILER,Pressure Test,2026-04-27,
c8617312,HJC406FS,TRAILER,Fire Permit,2027-01-31,
762ee6b2,HJC406FS,TRAILER,Meter Calibration Certificate,2026-07-17,
04fce409,HSR127FS,TRUCK,Engen Dekra SLP,2027-04-13,
28fbfd07,HJD650FS,TRAILER,Engen Dekra SLP,2027-04-13,
e1ed82f7,HRG694FS,TRUCK,Engen Dekra SLP,2026-06-30,
bde9539f,HJC408FS,TRAILER,Engen Dekra SLP,2026-09-18,
0f3f16a6,HSD377FS,TRUCK,Engen Dekra SLP,2026-09-10,
bfb55a95,FZG549FS,TRAILER,Engen Dekra SLP,2026-09-10,
3cc0bb28,HTD129FS,TRUCK,Engen Dekra SLP,2027-01-20,
5d8076c5,HJD040FS,TRAILER,Engen Dekra SLP,2027-01-20,
f88fe6e3,HTW038FS,TRUCK,Engen Dekra SLP,2026-10-07,
00aaf671,HKF998FS,TRAILER,Engen Dekra SLP,2026-10-07,
c5dcd173,HSD375FS,TRUCK,Engen Dekra SLP,2026-09-23,
38a6a2de,HFF543FS,TRAILER,Engen Dekra SLP,2026-09-23,
e544a4d4,HTD134FS,TRUCK,Engen Dekra SLP,2027-01-21,
75451b97,HRC942FS,TRAILER,Engen Dekra SLP,2027-01-21,
433cb155,JBH823FS,TRUCK,Engen Dekra SLP,2026-10-17,
ec9f6aea,HCS967FS,TRAILER,License disc,2026-10-17,
7acafef2,HPD564FS,TRUCK,Engen Dekra SLP,2026-09-10,
14ef69fd,HRD136FS,TRAILER,Engen Dekra SLP,2026-09-10,
77f0ae6d,HSR118FS,TRUCK,Engen Dekra SLP,2026-07-22,
11fc8669,HJF141FS,TRAILER,Engen Dekra SLP,2026-07-22,
6e2ccb40,C233BBW,TRUCK,Engen Dekra SLP,2027-03-16,
09f1b366,C074BBK,TRAILER,Engen Dekra SLP,2027-03-16,
13cd6add,C241BBW,TRUCK,Engen Dekra SLP,2026-06-03,
212f44aa,C936BBK,TRAILER,Engen Dekra SLP,2026-06-03,
16c78076,C243BBW,TRUCK,Engen Dekra SLP,2026-10-29,
c717ea0e,C121BBZ,TRAILER,Engen Dekra SLP,2026-10-29,
6d6aae5a,C235BBW,TRUCK,Engen Dekra SLP,2027-03-16,
4f849861,C813BBK,TRAILER,Engen Dekra SLP,2027-03-16,
f5926ddf,C809BBV,TRUCK,Engen Dekra SLP,2026-05-20,
d9214fdc,C810BBV,TRAILER,Engen Dekra SLP,2026-05-20,
63b5e535,C317BBG,TRUCK,Engen Dekra SLP,2026-09-28,
97ffd5a9,C313BBG,TRAILER,Engen Dekra SLP,2026-09-28,
b8150915,C245BBW,TRUCK,Engen Dekra SLP,2026-11-12,
10a35a1f,C443BBK,TRAILER,Engen Dekra SLP,2026-11-12,
28032c37,C065BBY,TRUCK,Engen Dekra SLP,2027-04-20,
f267162b,C388BBZ,TRAILER,Engen Dekra SLP,2027-02-25,
f5db4826,C155BBR,TRUCK,Engen Dekra SLP,2026-11-28,
1349456a,C693BBZ,TRAILER,Engen Dekra SLP,2026-11-28,
6dbf7bc4,C221BBM,TRUCK,Engen Dekra SLP,2026-11-20,
689084ea,C053BCB,TRAILER,Engen Dekra SLP,2026-11-20,
d823195e,C894BBV,TRUCK,Engen Dekra SLP,2026-04-10,
6c009a75,C648BCF,TRAILER,Engen Dekra SLP,2026-04-10,
81eedbf5,HSR127FS,TRUCK,License disc,2026-06-30,
fd5d83ec,HSR127FS,TRUCK,Brake Test,2026-07-08,
4ea383b8,HSR127FS,TRUCK,Cross Border,2027-02-05,
06c9d7ea,HSR127FS,TRUCK,Fire Permit,2027-03-31,
12206413,HJD650FS,TRAILER,License disc,2026-05-31,
5fd84df2,HJD650FS,TRAILER,Brake Test,2026-07-08,
bd8f2ac8,HJD650FS,TRAILER,Pressure Test,2026-07-08,
378f4f5e,HJD650FS,TRAILER,Fire Permit,2027-03-31,
884ce260,HRG694FS,TRUCK,License disc,2026-05-31,
4f15068e,HRG694FS,TRUCK,Brake Test,2026-06-24,
13b78f71,HRG694FS,TRUCK,Cross Border,2026-07-02,
8ac0a966,HRG694FS,TRUCK,Fire Permit,2027-03-31,
96ef6574,HJC408FS,TRAILER,License disc,2026-07-31,
5e7febc2,HJC408FS,TRAILER,Brake Test,2026-06-24,
73df5765,HJC408FS,TRAILER,Pressure Test,2026-06-24,
87193631,HJC408FS,TRAILER,Fire Permit,2027-03-31,
d5305afe,HSD377FS,TRUCK,License disc,2026-08-31,
6a2dfc29,HSD377FS,TRUCK,Brake Test,2026-04-20,
4906def2,HSD377FS,TRUCK,Cross Border,2027-02-05,
bc03f5f3,HSD377FS,TRUCK,Fire Permit,2026-10-31,
