region,load_type,allowance,additional_allowance
MASERU,BRIDGING,400,0
MASERU,DIRECT,400,100
MASERU,LOCAL,100,0
BUTHA-BUTHE,BRIDGING,400,100
BUTHA-BUTHE,DIRECT,400,100
BUTHA-BUTHE,LOCAL,150,0
LERIBE,BRIDGING,400,100
LERIBE,DIRECT,400,100
LERIBE,LOCAL,150,0
BEREA,BRIDGING,400,100
BEREA,DIRECT,400,100
BEREA,LOCAL,100,0
MAFETENG,BRIDGING,400,100
MAFETENG,DIRECT,400,100
MAFETENG,LOCAL,150,0
MOHALES HOEK,BRIDGING,400,100
MOHALES HOEK,DIRECT,400,100
MOHALES HOEK,LOCAL,150,0
QUTHING,BRIDGING,400,100
QUTHING,DIRECT,400,100
QUTHING,LOCAL,150,0
QACHAS NEK,BRIDGING,400,200
QACHAS NEK,DIRECT,400,200
QACHAS NEK,LOCAL,250,0
THABATSEKA,BRIDGING,400,200
THABATSEKA,DIRECT,400,200
THABATSEKA,LOCAL,250,0
MOKHOTLONG,BRIDGING,400,200
MOKHOTLONG,DIRECT,400,200
MOKHOTLONG,LOCAL,250,0
MPHAKI,BRIDGING,400,200
MPHAKI,DIRECT,400,200
MPHAKI,LOCAL,250,0
