truck_reg,service_date,service_km,next_service_km,service_place,km_difference,service_type,notes
HNL763FS,2026-02-24,722243,760000,Middleburg,-37757,Major,
JHC375FS,2026-02-19,197408,240000,Middleburg,0,Major,
HMZ106FS,2026-02-05,802852,840000,Middleburg,0,Major,
HXL962FS,2026-02-06,501387,550000,Middleburg,0,Major,
HTD141FS,2026-02-06,642378,680000,Middleburg,0,Major,
HTD133FS,2026-02-06,640697,680000,Middleburg,0,Major,
HXM473FS,2026-02-09,476550,520000,Middleburg,0,Major,
HXW402FS,2026-02-09,480449,520000,Middleburg,0,Major,
HTW022FS,2026-01-12,564569,600000,Bloemfontein,0,Major,
HPT062FS,2025-05-12,599275,640000,Middleburg,0,Major,
HPT062FS,2025-11-04,680000,720000,Bloemfontein,40000,Major,
HTD133FS,2026-04-17,680024,720000,Bloemfontein,24,Major,
HSR118FS,2026-01-01,440000,480000,Bloemfontein,0,Minor,
HTD129FS,2026-01-01,560000,600000,Bloemfontein,0,Minor,
HTW038FS,2026-01-01,525674,560000,Bloemfontein,0,Minor,
HRG694FS,2026-01-01,781799,800000,Bloemfontein,0,Minor,
HSR127FS,2026-01-01,626174,640000,Bloemfontein,0,Minor,
HTD129FS,2026-01-01,587368,600000,Bloemfontein,-12632,Minor,
HTD134FS,2026-01-01,590480,600000,Bloemfontein,0,Minor,
HSD377FS,2026-01-01,554790,560000,Bloemfontein,0,Minor,
JBH823FS,2026-01-01,319074,320000,Bloemfontein,0,Minor,
HSD375FS,2026-01-01,520044,520000,Bloemfontein,0,Minor,
HSD379FS,2026-05-29,562734,600000,Bloemfontein,0,Major,
C241BBW,2026-01-01,323605,350000,Bloemfontein,0,Major,
C894BBV,2026-05-25,322547,370000,Bloemfontein,0,Minor,
C235BBW,2026-01-01,311483,350000,Bloemfontein,0,Major,
C065BBY,2026-01-01,222535,250000,Bloemfontein,0,Major,
C233BBW,2026-01-01,326706,350000,Bloemfontein,0,Major,
C243BBW,2026-01-01,332214,350000,Bloemfontein,0,Major,
C221BBM,2026-01-01,710900,720000,Bloemfontein,0,Major,
C809BBW,2026-01-01,842152,850000,Bloemfontein,0,Major,
C245BBW,2026-01-01,303951,300000,Bloemfontein,0,Major,
C317BBG,2026-01-01,568301,560000,Bloemfontein,0,Major,
HSD375FS,2026-06-02,520144,560000,Bloemfontein,144,Major,
JBH823FS,2026-06-05,320563,360000,Bloemfontein,563,Major,
